D11GemeenteStraat;JAAR bevraging;Storyfragment (Vertel iets over je straat?);TitelVerhaal;M1_Raad je het aan om in jouw straat te komen wonen?;M2_ThemaInVerhaal?_De infrastructuur / inrichting van de straat;M2Thema_De verkeerssituatie;M2Thema_De sociale contacten en activiteiten;M2Thema_Het (on)veiligheidsgevoel;M2Thema_Omgevingsfactoren door mensen;M2Thema_Omgevingsfactoren door klimaat;M2Thema_De bereikbaarheid van voorzieningen;M3_Wat is het gevoel over jouw straat?;D9_Hoeveel invloed heb jij om de leefbaarheid in je straat te beinvloeden? (schaal 0 tot 1);10. Hoe lang wil je in de straat wonen?_Clustered;L1_ScoreLeefbaarheid_ThemaInrichtingvan de straat;L1_ScoreLeefbaarheid_Sociaal;L1_ScoreLeefbaarheid_Omgevingsfactoren;L1_ScoreLeefbaarheid_Verkeersaspecten;16. Geslacht;17. Leeftijd;ModalSplitKLasse van de straat (niet gemotoriseerd verkeer/gemotoriseerde voertuigen);
's-Herenstraat /  Borgerhout;2020;Onze straat is vrij rustig, zeker het stuk waar wij wonen. Er zijn vooral veel fietsers en voetgangers. Autoâ€™s mogen maar in een richting door in ons stuk. De straat is ook grotendeels vernieuwd, alles ziet er veel netter uit en er is ook meer groen nu. Er zijn bakkers, slagers, groente en viswinkels vlakbij. Onze wijk voelt aan als een dorp, hoewel het op 10 minuten van het centrum van de stad ligt. Er zijn wel nog te veel parkeerplaatsen naar mijn zin. De straat is niet breed en de autoâ€™s nemen plaats in waar groen zou kunnen staan en verpesten het uitzicht.;Dorp in de stad;Ik raad het eerder aan om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,6504425;Niet verhuizen;0,8;0,77;0,6;0,74;Man;25 tot 39 jaar;75/25;
's-Herenstraat /  Borgerhout;2021;Onze straat is rustig, maar ligt in een levendige volkse buurt en vlak bij het centrum van Antwerpen (10-15 min met de fiets.) De straat is een jaar geleden heraangelegd met meer groen en bomen en je ziet al dat de bewoners daardoor ook hun gevels gaan vergroenen.;Rustige straat in een volkse buurt;Ik raad het heel erg aan om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,44;Niet verhuizen;0,656;0,778;0,662;0,742;Man;25 tot 39 jaar;0/100;
's-Herenstraat /  Borgerhout;2022;Rustige straat in rustige wijk. Midden tussen twee verkeersassen (plantin moretuslei en turnhoutse baan). Vele kleine pleintjes in de buurt.  Alles vlakbij.  Goede mix van culturen. ;Rust;Ik raad het eerder aan om in deze straat te komen wonen;De infrastructuur / inrichting van de straat;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,72;Niet verhuizen;0,734;0,6;0,528;0,674;Vrouw;25 tot 39 jaar;0/100;
Aarschotsesteenweg /  Wilsele;2020;Wonen aan en drukke steenweg heeft op zich niet direct voordelen.  Drukte, geluidsoverlast, geen veilige speelplek voor kinderen,...  Maar wij waren dol op het huis dat we hier konden kopen, met een vrij grote, aanname tuin.  Dat compenseert voor een flink stuk de nadelen van de ligging aan een de drukke weg.  ;Wone aan een drukke steenweg.;Ik raad het eerder af om in deze straat te komen wonen;;De verkeerssituatie;;;Omgevingsfactoren door mensen veroorzaakt (geluid, geur, afval, â€¦);;;Geen uitgesproken gevoel;0,64;Niet verhuizen;0,458;0,432;0,564;0,55;Man;40 tot 64 jaar;100/0;
Aarschotsesteenweg /  Wilsele;2021;Onze straat heeft het voordeel dat ze makkelijke verkeersverbindingen heeft met de stad Leuven maar ook met alle vlot bereikbare voorzieningen.  Het belangrijkste nadeel is de grote verkeersdruk, vooral sinds onze straat ook alle vrachtverkeer van de Vaartzone extra te verwerken krijgt.  Dit heeft impact op de verkeersveiligheid in onze straat.;Goede verbindingen maar zeer druk en ook gevaarlijk.;Ik raad het eerder af om in deze straat te komen wonen;;De verkeerssituatie;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Negatief;0,12;Geen mening;0,058;0,306;0,314;0,274;Man;40 tot 64 jaar;100/0;
Aarschotsesteenweg /  Wilsele;2022;Veel voorzieningen op wandelafstand (school, winkels,...).  Centrum Leuven makkelijk bereikbaar met bus en fiets.  Deelwagens en publiek laadpunt om de hoek en oprit snelweg op 500m.  Voor jonge kinderen is wonen langs een gewestweg minder evident.;Gewestweg in de periferie van een centrumstad;Ik heb geen uitgesproken mening;;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Negatief;0,3;Niet verhuizen;0,734;0,6;0,528;0,674;Man;40 tot 64 jaar;100/0;
Aartrijkestraat /  Torhout;2020;Leuke straat, alles dichtbij, fietsers en voetgangers zouden wat meer ruimte mogen krijgen;Leuk en druk;Ik raad het heel erg aan om in deze straat te komen wonen;;De verkeerssituatie;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,56;Niet verhuizen;0,524;0,674;0,724;0,358;Vrouw;40 tot 64 jaar;75/25;
Aartrijkestraat /  Torhout;2021;Dicht bij centrum, winkels en scholen vlakbij, maar druk op de spitsuren;Druk;Ik raad het eerder aan om in deze straat te komen wonen;;De verkeerssituatie;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Gemengd gevoel;0,59;Niet verhuizen;0,664;0,524;0,626;0,382;Vrouw;40 tot 64 jaar;75/25;
Aartrijkestraat /  Torhout;2022;Te snel rijdende voertuigen. Rijden sneller dan de toegestane 50km/u. Geen degelijk voetpad. ;Onveilig;Ik raad het eerder af om in deze straat te komen wonen;De infrastructuur / inrichting van de straat (stoep, bomen, zitbank,â€¦);De verkeerssituatie;;;;;;Positief;0,75;Verhuizen;0,656;0,778;0,662;0,742;Man;25 tot 39 jaar;50/50;
Adamstraat /  Geraardsbergen;2020;Centraal gelegen in het centrum, alles is bereikbaar binnen wandelafstand : winkels, scholen, station.  Iets gaan eten of drinken kan te voet.  Drukke, doch leefbare straat.  Zondagse rust !  Op termijn deel van de verfraaiingswerken in het kader van het masterplan Stationsomgeving.;Aangename centrumstraat.;Ik raad het eerder aan om in deze straat te komen wonen;;;;;;;De bereikbaarheid van voorzieningen (school, winkels, recreatie, â€¦);Positief;0,71;Niet verhuizen;0,46;0,69;0,66;0,594;Man;40 tot 64 jaar;75/25;
